smallcode,total,APPROVED BY Pengawas,COMPLETED BY Admin Kabupaten,DRAFT,EDITED BY Admin Kabupaten,OPEN,REJECTED BY Admin Kabupaten,REJECTED BY Pengawas,REVOKED BY Admin Kabupaten,REVOKED BY Pengawas,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT
6.40901E+15,54,4,0,0,0,50,0,0,0,0,0,0
6.40901E+15,37,3,0,0,0,34,0,0,0,0,0,0
6.40901E+15,98,44,0,5,0,11,0,0,0,0,38,0
6.40901E+15,65,40,0,1,0,0,0,0,0,0,24,0
6.40901E+15,64,27,0,4,0,1,0,1,0,0,31,0
6.40901E+15,82,10,0,4,0,61,0,0,0,0,6,1
6.40901E+15,69,17,0,1,0,51,0,0,0,0,0,0
6.40901E+15,42,20,0,0,0,3,0,0,0,0,19,0
6.40901E+15,48,30,0,4,0,4,0,1,0,0,9,0
6.40901E+15,44,15,0,1,0,2,0,0,0,0,26,0
6.40901E+15,82,82,0,0,0,0,0,0,0,0,0,0
6.40901E+15,81,0,0,0,0,81,0,0,0,0,0,0
6.40901E+15,77,1,0,0,0,76,0,0,0,0,0,0
6.40901E+15,57,53,0,0,0,3,0,0,0,0,1,0
6.40901E+15,75,40,0,0,0,25,0,0,0,0,10,0
6.40901E+15,71,0,0,1,0,64,0,0,0,0,6,0
6.40901E+15,96,0,0,0,0,95,0,0,0,0,1,0
6.40901E+15,72,45,0,0,0,6,0,0,0,0,20,1
6.40901E+15,69,32,0,2,3,31,0,0,0,0,1,0
6.40901E+15,87,80,0,0,0,0,0,2,0,0,5,0
6.40901E+15,123,119,0,0,0,0,2,0,0,0,2,0
6.40901E+15,102,63,0,12,0,7,0,0,0,0,20,0
6.40901E+15,71,0,0,14,0,45,0,0,0,0,12,0
6.40901E+15,73,0,0,0,0,73,0,0,0,0,0,0
6.40901E+15,73,0,0,0,0,73,0,0,0,0,0,0
6.40901E+15,78,0,0,0,0,78,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,3,0,0,0,0,3,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,301,138,0,0,8,96,0,0,0,0,59,0
6.40901E+15,99,41,0,0,0,4,0,54,0,0,0,0
6.40901E+15,104,4,0,0,0,61,0,0,0,0,39,0
6.40901E+15,158,0,0,0,0,143,0,0,0,0,15,0
6.40901E+15,122,0,0,0,0,122,0,0,0,0,0,0
6.40901E+15,95,0,0,0,0,95,0,0,0,0,0,0
6.40901E+15,115,0,0,0,0,115,0,0,0,0,0,0
6.40901E+15,100,0,0,0,0,100,0,0,0,0,0,0
6.40901E+15,131,36,0,9,1,11,0,1,0,0,73,0
6.40901E+15,119,27,0,2,0,4,0,2,0,0,84,0
6.40901E+15,108,9,0,7,0,61,0,8,0,0,23,0
6.40901E+15,134,0,0,0,0,134,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40902E+15,222,71,0,0,0,22,0,129,0,0,0,0
6.40902E+15,87,87,0,0,0,0,0,0,0,0,0,0
6.40902E+15,82,15,0,0,0,67,0,0,0,0,0,0
6.40902E+15,187,0,0,0,0,187,0,0,0,0,0,0
6.40902E+15,103,16,0,0,0,85,0,2,0,0,0,0
6.40902E+15,143,45,0,0,0,83,0,15,0,0,0,0
6.40902E+15,166,50,0,0,0,55,0,15,0,0,46,0
6.40902E+15,155,127,0,0,0,0,0,26,0,0,2,0
6.40902E+15,160,9,0,0,0,151,0,0,0,0,0,0
6.40902E+15,106,3,0,0,0,103,0,0,0,0,0,0
6.40902E+15,3,3,0,0,0,0,0,0,0,0,0,0
6.40902E+15,159,0,0,0,0,159,0,0,0,0,0,0
6.40902E+15,111,37,0,4,0,10,0,0,0,0,60,0
6.40902E+15,176,92,0,8,0,60,0,15,0,0,1,0
6.40902E+15,244,130,0,13,0,46,0,46,0,0,9,0
6.40902E+15,210,76,0,8,0,108,0,13,0,0,5,0
6.40902E+15,226,43,0,0,0,182,0,0,0,0,0,1
6.40902E+15,133,1,0,1,0,102,0,0,0,4,25,0
6.40902E+15,127,13,0,9,0,104,0,0,0,0,1,0
6.40902E+15,241,14,0,1,0,173,0,0,0,0,53,0
6.40902E+15,160,69,0,29,0,46,0,5,0,1,10,0
6.40902E+15,86,10,0,0,0,71,0,0,0,0,5,0
6.40902E+15,74,12,0,0,0,62,0,0,0,0,0,0
6.40902E+15,76,76,0,0,0,0,0,0,0,0,0,0
6.40902E+15,187,11,0,0,0,170,0,0,0,0,6,0
6.40902E+15,227,91,0,1,0,16,0,75,0,1,43,0
6.40902E+15,200,123,0,0,0,68,0,7,0,0,2,0
6.40902E+15,207,66,0,3,0,137,0,1,0,0,0,0
6.40902E+15,91,6,0,0,0,56,0,29,0,0,0,0
6.40902E+15,87,8,0,0,0,65,0,12,0,1,0,1
6.40902E+15,257,63,0,24,0,61,0,49,0,0,60,0
6.40902E+15,279,72,0,11,0,83,0,3,0,1,109,0
6.40902E+15,228,142,0,20,0,1,0,65,0,0,0,0
6.40902E+15,27,25,0,0,0,0,0,2,0,0,0,0
6.40902E+15,136,0,0,0,0,136,0,0,0,0,0,0
6.40902E+15,224,84,0,7,0,20,0,53,0,0,60,0
6.40902E+15,188,159,0,0,9,0,0,20,0,0,0,0
6.40902E+15,168,2,0,0,0,166,0,0,0,0,0,0
6.40902E+15,198,0,0,0,0,198,0,0,0,0,0,0
6.40902E+15,183,28,0,23,0,88,0,34,0,0,10,0
6.40902E+15,185,4,0,0,0,177,0,4,0,0,0,0
6.40902E+15,134,6,0,0,0,124,0,4,0,0,0,0
6.40902E+15,45,0,0,0,0,45,0,0,0,0,0,0
6.40902E+15,61,0,0,0,0,61,0,0,0,0,0,0
6.40902E+15,173,99,0,0,0,13,0,1,0,0,58,2
6.40902E+15,121,61,0,0,0,3,0,0,0,0,57,0
6.40902E+15,97,52,0,0,0,7,0,0,0,0,38,0
6.40902E+15,123,39,0,0,0,23,0,0,0,0,61,0
6.40902E+15,191,13,0,4,0,173,0,1,0,0,0,0
6.40902E+15,111,26,0,10,0,75,0,0,0,0,0,0
6.40902E+15,217,170,0,15,0,11,0,21,0,0,0,0
6.40902E+15,157,94,0,6,0,38,0,18,0,0,1,0
6.40902E+15,101,29,0,2,0,62,0,6,0,0,2,0
6.40902E+15,118,1,0,2,0,115,0,0,0,0,0,0
6.40902E+15,162,10,0,1,0,136,0,5,0,0,10,0
6.40902E+15,112,40,0,11,0,56,0,0,0,0,5,0
6.40902E+15,195,79,0,10,0,56,0,48,0,0,2,0
6.40902E+15,230,168,0,0,0,48,0,14,0,0,0,0
6.40902E+15,251,94,0,1,0,153,0,3,0,0,0,0
6.40902E+15,90,79,0,0,0,6,0,4,0,0,0,1
6.40902E+15,29,0,0,0,0,29,0,0,0,0,0,0
6.40902E+15,95,0,0,0,0,79,0,16,0,0,0,0
6.40902E+15,84,0,0,0,0,71,0,13,0,0,0,0
6.40902E+15,109,24,0,0,0,64,0,20,0,1,0,0
6.40902E+15,154,0,0,0,0,153,0,0,0,0,0,1
6.40902E+15,184,92,0,0,0,27,0,65,0,0,0,0
6.40902E+15,143,135,0,1,2,2,0,1,0,2,0,0
6.40902E+15,102,14,0,0,0,88,0,0,0,0,0,0
6.40902E+15,99,7,0,0,0,90,0,2,0,0,0,0
6.40902E+15,89,16,0,0,0,45,0,27,0,0,0,1
6.40902E+15,111,14,0,0,0,87,0,10,0,0,0,0
